MeSH term	Name	MeSH first level term	MeSH second level term	Nominal P value	False discovery rate	Tissue-specific expression Z score gene 1	Tissue-specific expression Z score gene 2	Tissue-specific expression Z score gene 3	Tissue-specific expression Z score gene 4	Tissue-specific expression Z score gene 5	Tissue-specific expression Z score gene 6	Tissue-specific expression Z score gene 7	Tissue-specific expression Z score gene 8	Tissue-specific expression Z score gene 9	Tissue-specific expression Z score gene 10
A05.360.319.679.256	Cervix Uteri	Urogenital System	Genitalia	0.23	>=0.20	ENSG00000223842 (2.3)	KIAA0907 (1.6)	CDKN2C (1.5)	ADCY3 (1.3)	KIAA0947 (1.2)	CLDN4 (1.1)	THBS2 (1.1)	CSRP2 (1.1)	FAM83B (1.0)	DNAJC1 (1.0)
A07.541.560	Heart Ventricles	Cardiovascular System	Heart	0.24	>=0.20	SLMAP (4.9)	LTBP4 (3.4)	LYPLAL1 (3.3)	SPTBN1 (2.9)	FAF1 (2.8)	WT1-AS (2.7)	EBF2 (2.6)	UQCC (2.4)	MSRB3 (2.4)	ENSG00000238018 (2.4)
A03.556.875.875	Stomach	Digestive System	Gastrointestinal Tract	0.24	>=0.20	MFAP4 (2.5)	LTBP4 (1.9)	CRISPLD2 (1.6)	DNAJC1 (1.6)	KIAA0907 (1.4)	CALD1 (1.4)	FILIP1L (1.3)	MUC13 (1.3)	LTBP1 (1.2)	PALLD (1.1)
A06.407.071.140	Adrenal Cortex	Endocrine System	Endocrine Glands	0.24	>=0.20	CYP11A1 (6.1)	ENSG00000256731 (4.5)	SLC22A3 (2.6)	C2orf69 (2.3)	EML6 (2.2)	ZFP36L2 (1.7)	LYPLAL1 (1.4)	CDKN2C (1.3)	C3orf26 (1.3)	TBC1D23 (1.2)
A03.556.124	Intestines	Digestive System	Gastrointestinal Tract	0.25	>=0.20	MUC13 (3.6)	CLDN3 (2.7)	CLDN4 (1.8)	ABHD11 (1.8)	ZFP36L2 (1.1)	ENSG00000256731 (1.0)	ENSG00000223842 (0.9)	C2orf47 (0.9)	CRISPLD2 (0.8)	SPATS2L (0.8)
A05.360.490.690	Ovum	Urogenital System	Genitalia	0.26	>=0.20	MSX1 (2.9)	CASC2 (2.5)	CRISPLD2 (2.2)	CALB2 (2.2)	WT1 (2.1)	CYP11A1 (2.0)	CAMKMT (1.8)	EPHB1 (1.8)	CSRP2 (1.7)	RNF4 (1.5)
A11.497.497.600	Oocytes	Cells	Germ Cells	0.26	>=0.20	MSX1 (2.9)	CASC2 (2.5)	CRISPLD2 (2.2)	CALB2 (2.2)	WT1 (2.1)	CYP11A1 (2.0)	CAMKMT (1.8)	EPHB1 (1.8)	CSRP2 (1.7)	RNF4 (1.5)
A02.633.567.850	Quadriceps Muscle	Musculoskeletal System	Muscles	0.28	>=0.20	ENSG00000229619 (5.2)	FAF1 (4.0)	C6orf195 (3.7)	FILIP1L (3.4)	HMCN2 (3.2)	UQCC (3.2)	SLMAP (3.1)	ENSG00000256731 (2.8)	DMRT2 (2.6)	KY (2.6)
A11.627.624.249	Monocyte Macrophage Precursor Cells	Cells	Myeloid Cells	0.29	>=0.20	PNPT1 (3.4)	ZNF438 (3.4)	PDE12 (2.9)	ADCY3 (2.7)	C2orf47 (2.6)	TYW5 (2.3)	HS1BP3 (2.3)	ENSG00000228536 (2.1)	BROX (2.0)	DUSP6 (1.8)
A11.872.378.590.635	Granulocyte Macrophage Progenitor Cells	Cells	Stem Cells	0.30	>=0.20	ZNF438 (2.7)	PNPT1 (2.5)	PDE12 (2.5)	CAMKMT (2.4)	TYW5 (2.1)	C2orf47 (2.1)	C6orf195 (2.0)	ENSG00000247225 (1.9)	HS1BP3 (1.8)	MCPH1 (1.7)
A14.549	Mouth	Stomatognathic System	Mouth	0.31	>=0.20	FAM83B (2.5)	MCC (1.4)	CSRP2 (1.2)	CLDN4 (1.1)	SPSB1 (1.0)	TBC1D23 (0.9)	DLEU1 (0.9)	MFAP4 (0.8)	RREB1 (0.8)	UBQLN4 (0.8)
A11.627.635	Myeloid Progenitor Cells	Cells	Myeloid Cells	0.31	>=0.20	PNPT1 (2.7)	CAMKMT (2.5)	PDE12 (2.0)	MCPH1 (2.0)	MLLT10 (2.0)	THADA (1.8)	C2orf47 (1.7)	TYW5 (1.7)	AAGAB (1.6)	BROX (1.5)
A03.620	Liver	Digestive System	Liver	0.32	>=0.20	LPA (11.8)	APOB (7.8)	LPAL2 (6.9)	AIG1 (2.4)	SLC22A3 (2.4)	MIA3 (2.2)	C2orf47 (2.0)	C10orf114 (1.9)	ENSG00000256731 (1.8)	ENSG00000247225 (1.2)
A05.360.490	Germ Cells	Urogenital System	Genitalia	0.32	>=0.20	MSX1 (2.5)	CASC2 (2.5)	CALB2 (2.1)	WT1 (2.0)	CRISPLD2 (2.0)	CYP11A1 (1.7)	CSRP2 (1.6)	CAMKMT (1.6)	HAND2 (1.6)	EPHB1 (1.5)
A05.810	Urinary Tract	Urogenital System	Urinary Tract	0.33	>=0.20	ENSG00000247225 (3.6)	AIG1 (2.7)	ADAMTS16 (1.6)	LYPLAL1 (1.5)	DMRT2 (1.5)	C10orf140 (1.3)	ENPP2 (1.2)	KIAA0947 (1.2)	CSRP2 (1.1)	KIAA0907 (1.0)
A11.872.378	Hematopoietic Stem Cells	Cells	Stem Cells	0.33	>=0.20	PNPT1 (2.2)	CAMKMT (2.1)	TYW5 (2.0)	MCPH1 (1.9)	MLLT10 (1.9)	PDE12 (1.7)	HAUS3 (1.7)	THADA (1.6)	EIF3M (1.5)	C2orf47 (1.5)
A11.436	Epithelial Cells	Cells	Epithelial Cells	0.34	>=0.20	CASC2 (3.4)	CCDC33 (2.4)	IQCH (2.2)	DNAH12 (1.7)	WBSCR28 (1.6)	WBSCR27 (1.3)	PNPT1 (1.2)	HYDIN (1.1)	FAM83B (0.9)	SPSB1 (0.9)
A06.407.071	Adrenal Glands	Endocrine System	Endocrine Glands	0.34	>=0.20	CYP11A1 (5.2)	ENSG00000256731 (3.2)	EML6 (2.0)	SLC22A3 (2.0)	C2orf69 (1.8)	ZFP36L2 (1.4)	CDKN2C (1.2)	C3orf26 (1.1)	LYPLAL1 (1.1)	HS1BP3 (1.0)
A11.436.397	Keratinocytes	Cells	Epithelial Cells	0.36	>=0.20	FAM83B (4.3)	MCC (2.4)	APOB (1.5)	DMRTA2 (1.4)	THBS2 (1.4)	CWC27 (1.4)	SLC22A3 (1.3)	HS1BP3 (1.3)	CHIC2 (1.3)	CLDN4 (1.2)
A11.118.637.555.567.562.440	Precursor Cells  B Lymphoid	Cells	Blood Cells	0.37	>=0.20	TYW5 (4.9)	AFF3 (4.2)	FOXP1 (4.1)	PRKCE (3.4)	YTHDC2 (3.2)	HAUS3 (2.9)	EIF3M (2.6)	ENSG00000250748 (2.4)	FAM116A (2.3)	RNF4 (2.3)
A11.872.378.294	Lymphoid Progenitor Cells	Cells	Stem Cells	0.37	>=0.20	TYW5 (4.9)	AFF3 (4.2)	FOXP1 (4.1)	PRKCE (3.4)	YTHDC2 (3.2)	HAUS3 (2.9)	EIF3M (2.6)	ENSG00000250748 (2.4)	FAM116A (2.3)	RNF4 (2.3)
A05.810.453	Kidney	Urogenital System	Urinary Tract	0.37	>=0.20	ENSG00000247225 (4.0)	AIG1 (2.9)	LYPLAL1 (1.7)	ADAMTS16 (1.7)	DMRT2 (1.6)	C10orf140 (1.5)	ENPP2 (1.3)	KIAA0947 (1.2)	CSRP2 (1.1)	C10orf114 (1.1)
A06.407.312.497.535.300.500	Cumulus Cells	Endocrine System	Endocrine Glands	0.38	>=0.20	CYP11A1 (5.6)	ADAMTS16 (3.0)	TBC1D23 (2.9)	FAM193A (2.5)	CALB2 (2.3)	VCAN (1.7)	EPHB1 (1.7)	RNF4 (1.5)	PDE12 (1.5)	DNAJC1 (1.5)
A11.436.329	Granulosa Cells	Cells	Epithelial Cells	0.38	>=0.20	CYP11A1 (5.6)	ADAMTS16 (3.0)	TBC1D23 (2.9)	FAM193A (2.5)	CALB2 (2.3)	VCAN (1.7)	EPHB1 (1.7)	RNF4 (1.5)	PDE12 (1.5)	DNAJC1 (1.5)
A05.360.319.114.630.535	Ovarian Follicle	Urogenital System	Genitalia	0.38	>=0.20	CYP11A1 (5.6)	ADAMTS16 (3.0)	TBC1D23 (2.9)	FAM193A (2.5)	CALB2 (2.3)	VCAN (1.7)	EPHB1 (1.7)	RNF4 (1.5)	PDE12 (1.5)	DNAJC1 (1.5)
A11.443	Erythroid Cells	Cells	Erythroid Cells	0.39	>=0.20	ENSG00000233147 (4.4)	LYPLAL1 (3.1)	DLEU1 (3.0)	BROX (2.9)	ENSG00000254560 (2.3)	CDKN2C (1.9)	HAND2 (1.9)	CAMKMT (1.8)	AIDA (1.8)	AIG1 (1.7)
A11.382	Endocrine Cells	Cells	Endocrine Cells	0.39	>=0.20	CYP11A1 (3.1)	FAM83B (1.7)	PDE12 (1.5)	ABHD11 (1.5)	CALB2 (1.5)	ADAMTS16 (1.4)	PNPT1 (1.3)	ENSG00000254560 (1.1)	SMAD3 (1.1)	C2orf47 (1.0)
A11.627.340.360	Granulocyte Precursor Cells	Cells	Myeloid Cells	0.39	>=0.20	ENSG00000247225 (4.6)	CAMKMT (4.1)	C6orf195 (3.5)	MCPH1 (2.3)	ANAPC13 (2.1)	CDKN2C (1.9)	TYW5 (1.8)	CEP63 (1.8)	FAM177B (1.7)	EIF3M (1.7)
A11.063	Antibody Producing Cells	Cells	Antibody-Producing Cells	0.40	>=0.20	LMX1B (2.8)	FAM177B (2.6)	BCL2 (2.6)	DNAJC1 (2.6)	BMP6 (2.5)	ENSG00000249521 (2.4)	ENSG00000250748 (2.4)	EML6 (2.3)	POLN (2.1)	DMRT2 (2.0)
A11.118.637.555.567.562	B Lymphocytes	Cells	Blood Cells	0.40	>=0.20	LMX1B (2.8)	FAM177B (2.6)	BCL2 (2.6)	DNAJC1 (2.6)	BMP6 (2.5)	ENSG00000249521 (2.4)	ENSG00000250748 (2.4)	EML6 (2.3)	POLN (2.1)	DMRT2 (2.0)
A15.145.229.334	Erythrocytes	Hemic and Immune Systems	Blood	0.40	>=0.20	ENSG00000233147 (4.5)	LYPLAL1 (3.1)	DLEU1 (2.9)	BROX (2.9)	ENSG00000254560 (2.4)	HAND2 (1.9)	CDKN2C (1.9)	AIDA (1.8)	CAMKMT (1.8)	AIG1 (1.7)
A11.872.378.590.817	Megakaryocyte Erythroid Progenitor Cells	Cells	Stem Cells	0.41	>=0.20	ENSG00000254560 (4.1)	PNPT1 (3.2)	MLLT10 (3.2)	FAF1 (3.2)	AIG1 (3.1)	WT1 (2.8)	THADA (2.8)	CAMKMT (2.8)	FIP1L1 (2.6)	DLEU1 (2.6)
A15.378.316.378.590.837.250	Erythroid Precursor Cells	Hemic and Immune Systems	Hematopoietic System	0.41	>=0.20	ENSG00000254560 (4.1)	PNPT1 (3.2)	MLLT10 (3.2)	FAF1 (3.2)	AIG1 (3.1)	WT1 (2.8)	THADA (2.8)	CAMKMT (2.8)	FIP1L1 (2.6)	DLEU1 (2.6)
A11.436.294.064	Glucagon Secreting Cells	Cells	Epithelial Cells	0.42	>=0.20	FAM83B (4.7)	ABHD11 (3.3)	WBSCR27 (3.2)	ENSG00000254560 (2.7)	SMAD3 (2.3)	UQCC (2.0)	PNPT1 (1.8)	WBSCR28 (1.8)	DLEU1 (1.7)	PDE12 (1.6)
A11.382.625	Enteroendocrine Cells	Cells	Endocrine Cells	0.42	>=0.20	FAM83B (4.7)	ABHD11 (3.3)	WBSCR27 (3.2)	ENSG00000254560 (2.7)	SMAD3 (2.3)	UQCC (2.0)	PNPT1 (1.8)	WBSCR28 (1.8)	DLEU1 (1.7)	PDE12 (1.6)
A11.436.348	Hepatocytes	Cells	Epithelial Cells	0.43	>=0.20	APOB (9.0)	SLC22A3 (3.4)	UQCC (2.7)	C2orf47 (2.6)	MLLT10 (2.3)	PNPT1 (2.2)	SPTBN1 (2.1)	C10orf114 (1.9)	LPAL2 (1.8)	PDE12 (1.7)
A15.145.693	Plasma	Hemic and Immune Systems	Blood	0.46	>=0.20	DNAJC1 (4.0)	LMX1B (3.8)	BMP6 (3.7)	ENSG00000250748 (3.4)	ENSG00000249521 (3.1)	DMRT2 (2.9)	BCL2 (2.8)	POLN (2.7)	TSSK1B (2.5)	ANAPC13 (2.5)
A15.145.229.637.555.567.562.725	Plasma Cells	Hemic and Immune Systems	Blood	0.46	>=0.20	DNAJC1 (4.0)	LMX1B (3.8)	BMP6 (3.7)	ENSG00000250748 (3.4)	ENSG00000249521 (3.1)	DMRT2 (2.9)	BCL2 (2.8)	POLN (2.7)	TSSK1B (2.6)	ANAPC13 (2.5)
A15.145.300	Fetal Blood	Hemic and Immune Systems	Blood	0.48	>=0.20	WBSCR28 (2.3)	ENSG00000249521 (2.1)	TSSK1B (1.9)	CAMKMT (1.8)	LMX1B (1.8)	SHKBP1 (1.8)	ENSG00000250748 (1.7)	C6orf195 (1.6)	COL24A1 (1.5)	FAM177B (1.5)
A15.145.229.188	Blood Platelets	Hemic and Immune Systems	Blood	0.48	>=0.20	ENSG00000233147 (12.1)	LYPLAL1 (5.3)	BROX (4.7)	BMP6 (4.4)	DNAH12 (4.3)	HAND2 (3.7)	AIDA (3.4)	DLEU1 (3.4)	ENSG00000229619 (3.4)	RIT1 (3.3)
A11.872.190	Embryonic Stem Cells	Cells	Stem Cells	0.48	>=0.20	C10orf140 (4.4)	C10orf114 (2.5)	CWC27 (2.5)	MLLT10 (2.2)	CSRP2 (2.0)	C2orf69 (1.7)	RRP15 (1.6)	C3orf26 (1.5)	MCPH1 (1.5)	VCAN (1.5)
A06.407.900	Thyroid Gland	Endocrine System	Endocrine Glands	0.50	>=0.20	KIAA0947 (2.3)	C10orf140 (2.0)	CLDN3 (1.8)	DUSP6 (1.7)	AIG1 (1.6)	COL8A1 (1.6)	KIAA0907 (1.6)	IQCH (1.4)	C10orf114 (1.3)	RREB1 (1.2)
A14.549.167.646	Periodontium	Stomatognathic System	Mouth	0.51	>=0.20	MCC (2.7)	HAND2 (2.4)	FAM83B (2.3)	ENSG00000249391 (2.0)	CSRP2 (1.9)	FAM177B (1.7)	CLDN4 (1.6)	C10orf114 (1.5)	UBQLN4 (1.4)	RREB1 (1.3)
A15.382.490.555.567.622	Lymphocytes  Null	Hemic and Immune Systems	Immune System	0.54	>=0.20	ENSG00000228536 (3.0)	CAMKMT (2.6)	TYW5 (2.5)	AAGAB (2.4)	UBQLN4 (2.3)	IQCH (2.1)	C3orf26 (2.1)	PNPT1 (2.1)	SMARCAL1 (1.9)	PDE12 (1.9)
A04.531.520	Nasal Mucosa	Respiratory System	Nose	0.55	>=0.20	DNAH12 (6.5)	CCDC33 (5.7)	DMRTA2 (5.4)	HYDIN (4.7)	CASC2 (4.7)	IQCH (4.4)	WBSCR27 (3.3)	DMRT2 (3.1)	SMAD3 (2.6)	ENSG00000254560 (2.3)
A09.531	Nose	Sense Organs	Nose	0.55	>=0.20	DNAH12 (6.5)	CCDC33 (5.7)	DMRTA2 (5.4)	HYDIN (4.7)	CASC2 (4.7)	IQCH (4.4)	WBSCR27 (3.3)	DMRT2 (3.1)	SMAD3 (2.6)	ENSG00000254560 (2.3)
A10.615.550.760	Respiratory Mucosa	Tissues	Membranes	0.55	>=0.20	DNAH12 (6.5)	CCDC33 (5.7)	DMRTA2 (5.4)	HYDIN (4.7)	CASC2 (4.7)	IQCH (4.4)	WBSCR27 (3.3)	DMRT2 (3.1)	SMAD3 (2.6)	ENSG00000254560 (2.3)
A10.615.550	Mucous Membrane	Tissues	Membranes	0.55	>=0.20	MUC13 (2.4)	CLDN3 (1.8)	CASC2 (1.8)	FAM83B (1.7)	CLDN4 (1.7)	DNAH12 (1.6)	CCDC33 (1.5)	DMRTA2 (1.4)	DMRT2 (1.3)	ABHD11 (1.1)
A11.872.040	Adult Stem Cells	Cells	Stem Cells	0.63	>=0.20	WBSCR28 (2.8)	TYW5 (2.4)	ENSG00000250748 (2.3)	MLLT10 (2.1)	C3orf26 (2.1)	C10orf114 (2.0)	CWC27 (2.0)	LIMK1 (1.9)	FIP1L1 (1.9)	RRP15 (1.8)
A15.382.490.555.567	Lymphocytes	Hemic and Immune Systems	Immune System	0.64	>=0.20	BCL2 (2.2)	FAM177B (1.9)	ENSG00000249521 (1.5)	DNAJC1 (1.5)	HAUS3 (1.5)	POLN (1.4)	LMX1B (1.4)	THADA (1.4)	CAMKMT (1.4)	EIF3M (1.4)
A10.165	Connective Tissue	Tissues	Connective Tissue	0.67	>=0.20	ENSG00000249521 (1.7)	COL24A1 (1.7)	HAUS3 (1.3)	ENSG00000247225 (1.3)	LMX1B (1.3)	DNAJC1 (1.2)	ENSG00000249391 (1.2)	ZFP36L2 (1.2)	EIF3M (1.1)	WT1-AS (1.1)
A10.272	Epithelium	Tissues	Epithelium	0.68	>=0.20	DNAH12 (3.9)	CCDC33 (3.3)	DMRTA2 (3.1)	CASC2 (2.8)	HYDIN (2.7)	IQCH (2.6)	WBSCR27 (1.9)	DMRT2 (1.8)	SMAD3 (1.7)	CLDN4 (1.7)
A05.810.453.324	Kidney Cortex	Urogenital System	Urinary Tract	0.70	>=0.20	ENSG00000247225 (2.3)	GDF5 (2.2)	TGFB2 (2.0)	MCC (1.6)	CALD1 (1.3)	PALLD (1.3)	C10orf114 (1.2)	LYPLAL1 (1.2)	HS1BP3 (1.2)	ENSG00000215231 (1.2)
A02.835	Skeleton	Musculoskeletal System	Skeleton	0.73	>=0.20	ENSG00000249521 (1.8)	COL24A1 (1.8)	HAUS3 (1.4)	LMX1B (1.3)	ENSG00000247225 (1.3)	DNAJC1 (1.3)	ENSG00000249391 (1.2)	EIF3M (1.2)	ZFP36L2 (1.2)	WT1-AS (1.1)
A03.556.124.369	Intestinal Mucosa	Digestive System	Gastrointestinal Tract	0.73	>=0.20	MUC13 (4.6)	CLDN3 (3.4)	WBSCR28 (2.4)	C2orf47 (1.8)	AAGAB (1.7)	ENSG00000249521 (1.5)	HMCN2 (1.5)	SPATS2L (1.3)	FAM177B (1.3)	LTBP4 (1.3)
A02.835.232	Bone and Bones	Musculoskeletal System	Skeleton	0.77	>=0.20	ENSG00000249521 (1.8)	COL24A1 (1.8)	HAUS3 (1.4)	ENSG00000247225 (1.4)	LMX1B (1.4)	ENSG00000249391 (1.3)	DNAJC1 (1.3)	EIF3M (1.2)	ZFP36L2 (1.2)	WT1-AS (1.1)
A15.382.520.604.800	Palatine Tonsil	Hemic and Immune Systems	Immune System	0.78	>=0.20	AFF3 (2.9)	THADA (2.7)	EML6 (2.6)	FAM177B (2.5)	YTHDC2 (2.2)	ENSG00000215231 (1.8)	FOXP1 (1.7)	SHKBP1 (1.3)	ENSG00000223842 (1.3)	FAM116A (1.2)
A04.623.603	Oropharynx	Respiratory System	Pharynx	0.78	>=0.20	AFF3 (2.9)	THADA (2.7)	EML6 (2.6)	FAM177B (2.5)	YTHDC2 (2.2)	ENSG00000215231 (1.8)	FOXP1 (1.7)	SHKBP1 (1.3)	ENSG00000223842 (1.3)	FAM116A (1.2)
A15.382.216	Bone Marrow	Hemic and Immune Systems	Immune System	0.79	>=0.20	ENSG00000249521 (2.2)	COL24A1 (2.0)	ENSG00000247225 (1.6)	LMX1B (1.6)	HAUS3 (1.6)	ENSG00000249391 (1.5)	DNAJC1 (1.4)	WT1-AS (1.3)	ZFP36L2 (1.3)	EIF3M (1.3)
A11.872.700.500	Induced Pluripotent Stem Cells	Cells	Stem Cells	0.79	>=0.20	MLLT10 (3.0)	CWC27 (2.5)	C10orf114 (2.5)	C10orf140 (2.5)	C2orf69 (2.2)	RRP15 (2.2)	C3orf26 (2.2)	FIP1L1 (2.1)	MCPH1 (2.1)	TYW5 (2.1)
A11.872.700	Pluripotent Stem Cells	Cells	Stem Cells	0.79	>=0.20	MLLT10 (3.0)	CWC27 (2.5)	C10orf114 (2.5)	C10orf140 (2.5)	C2orf69 (2.2)	RRP15 (2.2)	C3orf26 (2.2)	FIP1L1 (2.1)	MCPH1 (2.1)	TYW5 (2.1)
A11.118.637.555.567.569.200.700	T Lymphocytes  Regulatory	Cells	Blood Cells	0.80	>=0.20	FOXP1 (3.8)	FAM116A (3.7)	HAUS3 (3.2)	BCL2 (3.0)	EIF3M (2.8)	TYW5 (2.8)	KIAA0947 (2.6)	RNF4 (2.4)	YTHDC2 (2.3)	THADA (2.1)
A08.186.211.730.885.287.249.487	Corpus Striatum	Nervous System	Central Nervous System	0.81	>=0.20	ENSG00000224849 (9.9)	ENSG00000238018 (8.9)	BCL2 (3.1)	UBQLN4 (2.8)	TGFB2 (2.6)	SPTBN1 (2.5)	NAT8L (2.5)	FIP1L1 (2.4)	LIMK1 (2.3)	SYT11 (2.3)
A15.145.229.637.555	Leukocytes  Mononuclear	Hemic and Immune Systems	Blood	0.84	>=0.20	BCL2 (1.7)	FAM177B (1.6)	TSSK1B (1.3)	LMX1B (1.3)	ENSG00000249521 (1.3)	SHKBP1 (1.2)	ENSG00000250748 (1.2)	PDE12 (1.2)	SH3BP2 (1.1)	RNF4 (1.1)
A15.145.229.637.555.567.569.200	CD4 Positive T Lymphocytes	Hemic and Immune Systems	Blood	0.86	>=0.20	FOXP1 (3.5)	FAM116A (3.2)	HAUS3 (3.0)	BCL2 (2.9)	POLN (2.9)	KIAA0947 (2.6)	EIF3M (2.5)	RNF4 (2.5)	TYW5 (2.5)	YTHDC2 (2.1)
A14.549.885	Tongue	Stomatognathic System	Mouth	0.88	>=0.20	ENSG00000254560 (2.7)	ENSG00000249521 (1.9)	C3orf26 (1.8)	UBQLN4 (1.5)	DLEU1 (1.4)	DMRT2 (1.3)	CSRP2 (1.3)	ANAPC13 (1.3)	THADA (1.3)	POLN (1.3)
A11.118.637.555.567.569	T Lymphocytes	Cells	Blood Cells	0.90	>=0.20	HAUS3 (2.1)	RNF4 (2.0)	FOXP1 (1.9)	FAM116A (1.9)	EIF3M (1.9)	KIAA0947 (1.8)	BCL2 (1.7)	THADA (1.5)	YTHDC2 (1.4)	ZNHIT6 (1.4)
A15.145	Blood	Hemic and Immune Systems	Blood	0.92	>=0.20	SH3BP2 (2.0)	SHKBP1 (1.8)	ARHGEF2 (1.4)	ZFP36L2 (1.4)	FOXP1 (1.4)	FAM177B (1.2)	DUSP6 (1.1)	ENSG00000249521 (1.1)	BCL2 (1.1)	LPAL2 (1.0)
A15.382	Immune System	Hemic and Immune Systems	Immune System	0.93	>=0.20	ENSG00000249521 (1.6)	LMX1B (1.4)	SHKBP1 (1.3)	ARHGEF2 (1.3)	ENSG00000249391 (1.3)	HAUS3 (1.2)	SH3BP2 (1.1)	BCL2 (1.1)	LPAL2 (1.1)	FAM177B (1.1)
A02.835.583.443.800.800	Synovial Fluid	Musculoskeletal System	Skeleton	0.94	>=0.20	ZFYVE28 (2.8)	HAUS3 (2.6)	TNIP2 (2.4)	BCL2 (2.0)	MLLT10 (1.7)	BROX (1.7)	FIP1L1 (1.7)	ADCY3 (1.7)	TYW5 (1.6)	SH3BP2 (1.5)
A15.145.229	Blood Cells	Hemic and Immune Systems	Blood	0.94	>=0.20	SH3BP2 (1.7)	SHKBP1 (1.6)	ARHGEF2 (1.3)	BCL2 (1.2)	ZFP36L2 (1.2)	ENSG00000250748 (1.1)	HAUS3 (1.1)	FAM116A (1.1)	LPAL2 (1.0)	TSSK1B (1.0)
A11.118.637	Leukocytes	Cells	Blood Cells	0.96	>=0.20	SHKBP1 (1.7)	SH3BP2 (1.7)	LMX1B (1.4)	ENSG00000250748 (1.4)	FAM177B (1.4)	ARHGEF2 (1.4)	TSSK1B (1.3)	BCL2 (1.2)	ENSG00000249391 (1.2)	ENSG00000249521 (1.2)
A08.186.211.730.885.287.249	Basal Ganglia	Nervous System	Central Nervous System	0.96	>=0.20	ENSG00000224849 (6.8)	ENSG00000238018 (6.0)	NAT8L (2.7)	UBQLN4 (2.4)	BCL2 (2.4)	SPTBN1 (2.3)	SYT11 (2.3)	ENSG00000230910 (2.1)	RNF112 (2.1)	BAI3 (1.9)
A11.872.653	Neural Stem Cells	Cells	Stem Cells	0.96	>=0.20	FAM193A (2.9)	SYT11 (2.0)	C4orf48 (1.9)	EPHB1 (1.9)	RNF4 (1.6)	CHIC2 (1.6)	NAT8L (1.5)	C10orf140 (1.5)	LIMK1 (1.5)	EML6 (1.5)
A15.382.490.555.567.537	Killer Cells  Natural	Hemic and Immune Systems	Immune System	0.96	>=0.20	HAUS3 (2.2)	FIP1L1 (2.2)	TYW5 (2.1)	LPAL2 (1.8)	RNF4 (1.8)	KIAA0947 (1.7)	YTHDC2 (1.7)	EIF3M (1.5)	DNAJC1 (1.4)	ZFYVE28 (1.4)
A08.186.211.730.317.357.352.435	Hypothalamo Hypophyseal System	Nervous System	Central Nervous System	0.96	>=0.20	MXD4 (2.9)	AAGAB (2.7)	CRTC1 (2.3)	KY (2.3)	C4orf48 (2.2)	MSX1 (1.9)	BAI3 (1.9)	DMRTA2 (1.9)	ZFYVE28 (1.8)	ENSG00000215231 (1.6)
A08.186.211.730.317.357.352	Hypothalamus  Middle	Nervous System	Central Nervous System	0.96	>=0.20	MXD4 (2.9)	AAGAB (2.7)	CRTC1 (2.3)	KY (2.3)	C4orf48 (2.2)	MSX1 (1.9)	BAI3 (1.9)	DMRTA2 (1.9)	ZFYVE28 (1.8)	ENSG00000215231 (1.6)
A08.713	Neurosecretory Systems	Nervous System	Neurosecretory Systems	0.96	>=0.20	MXD4 (2.9)	AAGAB (2.7)	CRTC1 (2.3)	KY (2.3)	C4orf48 (2.2)	MSX1 (1.9)	BAI3 (1.9)	DMRTA2 (1.9)	ZFYVE28 (1.8)	ENSG00000215231 (1.6)
A15.378.316.580	Monocytes	Hemic and Immune Systems	Hematopoietic System	0.97	>=0.20	SH3BP2 (2.9)	LIMK1 (2.3)	ARHGEF2 (2.2)	HS1BP3 (2.2)	ZNF438 (2.1)	SHKBP1 (2.1)	RIT1 (1.9)	TSSK1B (1.6)	TNIP2 (1.5)	DUSP6 (1.5)
A08.186.211.730.885.287.500.670	Parietal Lobe	Nervous System	Central Nervous System	0.97	>=0.20	CRTC1 (2.9)	UBQLN4 (2.7)	NAT8L (2.6)	BAI3 (2.5)	ERC2 (2.5)	C10orf114 (2.3)	SYT11 (2.1)	SPTBN1 (2.1)	ENSG00000230910 (2.0)	C4orf48 (1.9)
A10.549	Lymphoid Tissue	Tissues	Lymphoid Tissue	0.97	>=0.20	THADA (1.3)	YTHDC2 (1.2)	KIAA0907 (1.2)	ENSG00000215231 (1.1)	RNF4 (1.1)	FTSJD1 (1.1)	AFF3 (1.1)	ENPP2 (1.0)	SLC22A3 (0.9)	FAM116A (0.9)
A15.382.520	Lymphatic System	Hemic and Immune Systems	Immune System	0.97	>=0.20	THADA (1.3)	YTHDC2 (1.2)	KIAA0907 (1.2)	ENSG00000215231 (1.1)	RNF4 (1.1)	FTSJD1 (1.1)	AFF3 (1.1)	ENPP2 (1.0)	SLC22A3 (0.9)	FAM116A (0.9)
A11.118.637.415	Granulocytes	Cells	Blood Cells	0.98	>=0.20	CEP63 (4.7)	SH3BP2 (4.1)	ZNF438 (4.1)	SHKBP1 (3.6)	MAP2K4 (3.4)	BROX (3.3)	ARHGEF2 (3.0)	RIT1 (2.8)	ENSG00000250748 (2.6)	CHIC2 (2.2)
A15.382.490.315.583	Neutrophils	Hemic and Immune Systems	Immune System	0.98	>=0.20	CEP63 (5.0)	SH3BP2 (4.4)	ZNF438 (4.4)	SHKBP1 (3.9)	MAP2K4 (3.9)	BROX (3.6)	ARHGEF2 (3.2)	RIT1 (3.1)	ENSG00000250748 (2.9)	CHIC2 (2.4)
