MeSH term	Name	MeSH first level term	MeSH second level term	Nominal P value	False discovery rate	Tissue-specific expression Z score gene 1	Tissue-specific expression Z score gene 2	Tissue-specific expression Z score gene 3	Tissue-specific expression Z score gene 4	Tissue-specific expression Z score gene 5	Tissue-specific expression Z score gene 6	Tissue-specific expression Z score gene 7	Tissue-specific expression Z score gene 8	Tissue-specific expression Z score gene 9	Tissue-specific expression Z score gene 10
A10.336	Exocrine Glands	Tissues	Exocrine Glands	0.21	>=0.20	ZNF613 (5.0)	ZNF615 (3.5)	NEIL2 (3.5)	DNAJC27-AS1 (3.1)	ZNF614 (3.0)	ZNF350 (2.9)	ZNF19 (2.7)	ENSG00000226491 (2.4)	BMP5 (2.2)	CRISPLD2 (1.9)
A05.810.453	Kidney	Urogenital System	Urinary Tract	0.22	>=0.20	ENSG00000247225 (4.0)	AIG1 (2.9)	ENSG00000177133 (2.4)	ENSG00000226491 (2.1)	LYPLAL1 (1.7)	ADAMTS16 (1.7)	DMRT2 (1.6)	KIAA0947 (1.2)	ZNF615 (1.2)	MECOM (1.1)
A11.382	Endocrine Cells	Cells	Endocrine Cells	0.23	>=0.20	SEMA3A (3.7)	RUNX2 (3.0)	C8orf49 (2.2)	FAM83B (1.7)	GATA4 (1.6)	PDE12 (1.5)	DOCK5 (1.5)	CALB2 (1.5)	RPS27A (1.4)	ADAMTS16 (1.4)
A11.436.329	Granulosa Cells	Cells	Epithelial Cells	0.23	>=0.20	RUNX2 (5.9)	SEMA3A (4.6)	C8orf49 (3.9)	ADAMTS16 (3.0)	CALB2 (2.3)	FAM208A (2.2)	GATA4 (2.0)	DHODH (2.0)	C2orf63 (1.9)	DOCK5 (1.9)
A05.360.319.114.630.535	Ovarian Follicle	Urogenital System	Genitalia	0.23	>=0.20	RUNX2 (5.9)	SEMA3A (4.6)	C8orf49 (3.9)	ADAMTS16 (3.0)	CALB2 (2.3)	FAM208A (2.2)	GATA4 (2.0)	DHODH (2.0)	C2orf63 (1.9)	DOCK5 (1.9)
A06.407.312.497.535.300.500	Cumulus Cells	Endocrine System	Endocrine Glands	0.23	>=0.20	RUNX2 (5.9)	SEMA3A (4.6)	C8orf49 (3.9)	ADAMTS16 (3.0)	CALB2 (2.3)	FAM208A (2.2)	GATA4 (2.0)	DHODH (2.0)	C2orf63 (1.9)	DOCK5 (1.9)
A06.407.312.782	Testis	Endocrine System	Endocrine Glands	0.24	>=0.20	C8orf49 (8.7)	NEIL2 (4.9)	ZNF19 (4.1)	WT1-AS (3.8)	ADAMTS16 (3.4)	TLK2 (3.3)	RXFP2 (3.2)	CENPO (3.0)	IL17RD (3.0)	ZNHIT6 (2.8)
A11.443	Erythroid Cells	Cells	Erythroid Cells	0.24	>=0.20	ENSG00000233147 (4.4)	TXNL4B (4.1)	LYPLAL1 (3.1)	DLEU1 (3.0)	ENSG00000162997 (2.8)	STAU2 (2.5)	RASGEF1A (2.5)	GPR45 (2.4)	ENSG00000254560 (2.3)	CENPO (2.2)
A15.145.229.334	Erythrocytes	Hemic and Immune Systems	Blood	0.25	>=0.20	ENSG00000233147 (4.5)	TXNL4B (4.1)	LYPLAL1 (3.1)	DLEU1 (2.9)	ENSG00000162997 (2.7)	RASGEF1A (2.6)	STAU2 (2.5)	ENSG00000254560 (2.4)	GPR45 (2.3)	ENSG00000256746 (2.2)
A15.382.520.604.700	Spleen	Hemic and Immune Systems	Immune System	0.27	>=0.20	PROK2 (1.8)	DMRT2 (1.7)	PTPRJ (1.7)	ZNF438 (1.6)	PRKCE (1.6)	NR1H3 (1.4)	WT1 (1.4)	THADA (1.4)	SRFBP1 (1.2)	SMEK2 (1.2)
A03.556.249.249.209	Cecum	Digestive System	Gastrointestinal Tract	0.27	>=0.20	ENSG00000223842 (2.8)	MECOM (1.8)	ZFP36L2 (1.6)	B4GALNT3 (1.5)	ENSG00000254560 (1.4)	ADCY3 (1.4)	MARVELD3 (1.3)	SLC22A18AS (1.3)	CDKN3 (1.3)	THBS2 (1.3)
A06.407.900	Thyroid Gland	Endocrine System	Endocrine Glands	0.28	>=0.20	TLK2 (2.3)	ENSG00000177133 (2.3)	KIAA0947 (2.3)	BMP7 (2.1)	NEIL2 (1.8)	IFT140 (1.8)	AIG1 (1.6)	COL8A1 (1.6)	FNBP4 (1.6)	ZNF19 (1.5)
A11.436.275	Endothelial Cells	Cells	Epithelial Cells	0.28	>=0.20	ADAMTS6 (2.8)	COL8A1 (2.7)	HMGA2 (2.0)	SLC39A13 (1.9)	SMAD3 (1.9)	TGFB2 (1.7)	EFEMP1 (1.7)	TMEM204 (1.6)	SPSB1 (1.5)	PRKCE (1.5)
A07.231.908	Veins	Cardiovascular System	Blood Vessels	0.28	>=0.20	ADAMTS6 (2.7)	SMAD3 (2.4)	EFEMP1 (2.2)	COL8A1 (2.2)	BMP2 (2.2)	SPSB1 (2.1)	SLC39A13 (2.0)	TGFB2 (1.9)	DDB2 (1.9)	BNC2 (1.8)
A15.145.229.188	Blood Platelets	Hemic and Immune Systems	Blood	0.29	>=0.20	ENSG00000233147 (12.1)	TXNL4B (7.1)	LYPLAL1 (5.3)	GPR45 (5.2)	ENSG00000256746 (5.1)	ENSG00000226491 (4.3)	DNAH12 (4.3)	HAND2 (3.7)	STAU2 (3.5)	DLEU1 (3.4)
A03.556.124.684	Intestine  Small	Digestive System	Gastrointestinal Tract	0.29	>=0.20	ENSG00000223842 (1.6)	BMP5 (1.5)	SLC22A18AS (1.4)	ZFP36L2 (1.3)	LTBP4 (1.2)	ACP2 (1.1)	CRISPLD2 (1.1)	NR1H3 (1.1)	MARVELD3 (1.0)	HMCN2 (1.0)
A07.231.908.670.874	Umbilical Veins	Cardiovascular System	Blood Vessels	0.33	>=0.20	ADAMTS6 (2.9)	SMAD3 (2.5)	BMP2 (2.3)	COL8A1 (2.3)	EFEMP1 (2.3)	SPSB1 (2.1)	TGFB2 (2.1)	SLC39A13 (2.0)	DDB2 (2.0)	BNC2 (1.9)
A07.231.908.670	Portal System	Cardiovascular System	Blood Vessels	0.33	>=0.20	ADAMTS6 (2.9)	SMAD3 (2.5)	BMP2 (2.3)	COL8A1 (2.3)	EFEMP1 (2.3)	SPSB1 (2.1)	TGFB2 (2.1)	SLC39A13 (2.0)	DDB2 (2.0)	BNC2 (1.9)
A11.872.378.590.635	Granulocyte Macrophage Progenitor Cells	Cells	Stem Cells	0.34	>=0.20	SPATA12 (3.4)	ZNF438 (2.7)	CCDC66 (2.5)	PNPT1 (2.5)	PDE12 (2.5)	CCDC88A (2.2)	TXNL4B (2.1)	C6orf195 (2.0)	CSGALNACT2 (2.0)	ENSG00000247225 (1.9)
A11.627.635	Myeloid Progenitor Cells	Cells	Myeloid Cells	0.35	>=0.20	PNPT1 (2.7)	CCDC66 (2.4)	SPATA12 (2.2)	CENPO (2.1)	CDCA2 (2.1)	PDE12 (2.0)	TXNL4B (2.0)	RPS27A (2.0)	CCDC88A (2.0)	MTIF2 (1.9)
A11.436.294.064	Glucagon Secreting Cells	Cells	Epithelial Cells	0.35	>=0.20	FAM83B (4.7)	RPS27A (2.7)	ENSG00000254560 (2.7)	CDKN3 (2.5)	SEMA3A (2.4)	CDCA2 (2.4)	SMAD3 (2.3)	PTRHD1 (2.1)	NUP160 (2.1)	PNPT1 (1.8)
A11.382.625	Enteroendocrine Cells	Cells	Endocrine Cells	0.35	>=0.20	FAM83B (4.7)	RPS27A (2.7)	ENSG00000254560 (2.7)	CDKN3 (2.5)	SEMA3A (2.4)	CDCA2 (2.4)	SMAD3 (2.3)	PTRHD1 (2.1)	NUP160 (2.1)	PNPT1 (1.8)
A11.872.040	Adult Stem Cells	Cells	Stem Cells	0.36	>=0.20	WBSCR28 (2.8)	IL17RD (2.6)	CHST4 (2.5)	SEMA3A (2.4)	RNU6-64 (2.4)	ENSG00000250748 (2.3)	CDCA2 (2.3)	ZNF614 (2.2)	MARVELD3 (2.2)	C3orf26 (2.1)
A03.556.124.369	Intestinal Mucosa	Digestive System	Gastrointestinal Tract	0.37	>=0.20	SLC22A18AS (4.9)	MARVELD3 (3.9)	BMP2 (2.8)	B4GALNT3 (2.8)	WBSCR28 (2.4)	BMP5 (2.4)	MECOM (2.3)	PHLPP2 (2.2)	NDUFS3 (1.8)	MTCH2 (1.7)
A15.382.520.604.800	Palatine Tonsil	Hemic and Immune Systems	Immune System	0.37	>=0.20	FAM159A (3.6)	THADA (2.7)	YTHDC2 (2.2)	ENSG00000226491 (2.0)	TELO2 (2.0)	KDM4C (1.9)	FAM208A (1.8)	CLEC16A (1.8)	ENSG00000244535 (1.5)	CELF1 (1.4)
A04.623.603	Oropharynx	Respiratory System	Pharynx	0.37	>=0.20	FAM159A (3.6)	THADA (2.7)	YTHDC2 (2.2)	ENSG00000226491 (2.0)	TELO2 (2.0)	KDM4C (1.9)	FAM208A (1.8)	CLEC16A (1.8)	ENSG00000244535 (1.5)	CELF1 (1.4)
A11.436.397	Keratinocytes	Cells	Epithelial Cells	0.38	>=0.20	FAM83B (4.3)	ANKFN1 (2.9)	MCC (2.4)	SREK1IP1 (2.4)	PMFBP1 (1.7)	PRRG4 (1.6)	HMGA2 (1.6)	ENSG00000245954 (1.6)	RNU6-64 (1.5)	B4GALNT3 (1.4)
A11.872.378	Hematopoietic Stem Cells	Cells	Stem Cells	0.39	>=0.20	CCDC66 (2.5)	PNPT1 (2.2)	RPS27A (1.9)	TXNL4B (1.9)	ENSG00000162997 (1.8)	CENPO (1.7)	PDE12 (1.7)	CDCA2 (1.7)	SPATA12 (1.7)	MTIF2 (1.7)
A15.145.300	Fetal Blood	Hemic and Immune Systems	Blood	0.40	>=0.20	PROK2 (2.8)	WBSCR28 (2.3)	CLEC16A (2.1)	SPI1 (1.9)	ZNF23 (1.9)	TSSK1B (1.9)	SHKBP1 (1.8)	ENSG00000250748 (1.7)	ENSG00000245954 (1.7)	C6orf195 (1.6)
A15.382.490.555.567.622	Lymphocytes  Null	Hemic and Immune Systems	Immune System	0.42	>=0.20	ENSG00000228536 (3.0)	CDCA2 (2.8)	CDKN3 (2.7)	DDB2 (2.4)	CLEC16A (2.4)	UHRF1 (2.3)	DHX38 (2.2)	CENPO (2.2)	DHODH (2.2)	C3orf26 (2.1)
A11.872.190	Embryonic Stem Cells	Cells	Stem Cells	0.43	>=0.20	IL17RD (4.0)	CWC27 (2.5)	CDCA2 (2.2)	ZNF614 (2.0)	CENPO (2.0)	BMP5 (1.8)	SREK1IP1 (1.8)	CHST4 (1.7)	RRP15 (1.6)	UHRF1 (1.6)
A03.620	Liver	Digestive System	Liver	0.43	>=0.20	AGXT (11.8)	TAT (11.2)	HP (9.1)	DHODH (4.6)	ADAMTSL3 (2.8)	CHST4 (2.6)	AIG1 (2.4)	ENSG00000226491 (2.4)	NR1H3 (2.3)	MTCH2 (2.1)
A15.378.316.378.590.837.250	Erythroid Precursor Cells	Hemic and Immune Systems	Hematopoietic System	0.45	>=0.20	ENSG00000254560 (4.1)	ENSG00000162997 (4.0)	RASGEF1A (3.9)	CDCA2 (3.3)	PNPT1 (3.2)	AIG1 (3.1)	ZNF717 (3.0)	MTIF2 (3.0)	NUP160 (2.9)	WT1 (2.8)
A11.872.378.590.817	Megakaryocyte Erythroid Progenitor Cells	Cells	Stem Cells	0.45	>=0.20	ENSG00000254560 (4.1)	ENSG00000162997 (4.0)	RASGEF1A (3.9)	CDCA2 (3.3)	PNPT1 (3.2)	AIG1 (3.1)	ZNF717 (3.0)	MTIF2 (3.0)	NUP160 (2.9)	WT1 (2.8)
A11.118.637.555.567.569.200.700	T Lymphocytes  Regulatory	Cells	Blood Cells	0.46	>=0.20	CCDC66 (5.1)	GNRH1 (4.4)	FNBP4 (4.4)	FAM116A (3.7)	TLK2 (3.6)	ENSG00000245954 (3.4)	ENSG00000162997 (3.0)	IST1 (3.0)	KDM4C (2.9)	EIF3M (2.8)
A10.272	Epithelium	Tissues	Epithelium	0.46	>=0.20	AGBL2 (3.9)	DNAH12 (3.9)	CHST4 (2.7)	HYDIN (2.7)	ANKFN1 (2.5)	C2orf54 (2.0)	DMRT2 (1.8)	SMAD3 (1.7)	IFT140 (1.6)	PRRG4 (1.4)
A15.145.229.637.555.567.569.200	CD4 Positive T Lymphocytes	Hemic and Immune Systems	Blood	0.46	>=0.20	CCDC66 (4.4)	ENSG00000245954 (4.2)	FNBP4 (4.1)	GNRH1 (3.7)	FAM116A (3.2)	ENSG00000244535 (3.1)	TLK2 (3.0)	KDM4C (2.9)	IST1 (2.9)	ENSG00000162997 (2.7)
A11.627.624.249	Monocyte Macrophage Precursor Cells	Cells	Myeloid Cells	0.50	>=0.20	SPATA12 (4.8)	PNPT1 (3.4)	ZNF438 (3.4)	PDE12 (2.9)	CCDC88A (2.8)	ADCY3 (2.7)	CCDC66 (2.6)	TXNL4B (2.4)	CSGALNACT2 (2.4)	SLC22A18AS (2.4)
A14.549.885	Tongue	Stomatognathic System	Mouth	0.58	>=0.20	GPR45 (4.1)	ENSG00000256746 (3.6)	ENSG00000224186 (3.5)	RNU6-64 (3.1)	ENSG00000254560 (2.7)	TELO2 (2.6)	MTIF2 (2.0)	IST1 (1.9)	C3orf26 (1.8)	C2orf54 (1.8)
A11.872.378.294	Lymphoid Progenitor Cells	Cells	Stem Cells	0.59	>=0.20	FNBP4 (4.0)	ZNF614 (3.5)	PRKCE (3.4)	CCDC66 (3.3)	YTHDC2 (3.2)	ZNF821 (3.2)	TLK2 (3.0)	KDM4C (2.9)	EIF3M (2.6)	ATXN1L (2.6)
A11.118.637.555.567.562.440	Precursor Cells  B Lymphoid	Cells	Blood Cells	0.59	>=0.20	FNBP4 (4.0)	ZNF614 (3.5)	PRKCE (3.4)	CCDC66 (3.3)	YTHDC2 (3.2)	ZNF821 (3.2)	TLK2 (3.0)	KDM4C (2.9)	EIF3M (2.6)	ATXN1L (2.6)
A10.165	Connective Tissue	Tissues	Connective Tissue	0.59	>=0.20	COL24A1 (1.7)	ENSG00000247225 (1.3)	GPX7 (1.3)	RET (1.3)	ZFP36L2 (1.2)	EIF3M (1.1)	ENSG00000224186 (1.1)	WT1-AS (1.1)	ENSG00000244535 (1.0)	C1QTNF4 (1.0)
A11.872.700	Pluripotent Stem Cells	Cells	Stem Cells	0.61	>=0.20	IL17RD (3.4)	CHST4 (3.3)	MARVELD3 (3.3)	ZNF614 (3.0)	CDCA2 (3.0)	NUP160 (2.6)	CWC27 (2.5)	ZNF613 (2.4)	SRFBP1 (2.3)	RRP15 (2.2)
A11.872.700.500	Induced Pluripotent Stem Cells	Cells	Stem Cells	0.61	>=0.20	IL17RD (3.4)	CHST4 (3.3)	MARVELD3 (3.3)	ZNF614 (3.0)	CDCA2 (3.0)	NUP160 (2.6)	CWC27 (2.5)	ZNF613 (2.4)	SRFBP1 (2.3)	RRP15 (2.2)
A02.835	Skeleton	Musculoskeletal System	Skeleton	0.63	>=0.20	COL24A1 (1.8)	GPX7 (1.4)	ENSG00000247225 (1.3)	RET (1.3)	EIF3M (1.2)	ZFP36L2 (1.2)	ENSG00000224186 (1.1)	WT1-AS (1.1)	C1QTNF4 (1.0)	PTPMT1 (1.0)
A11.118.637.415	Granulocytes	Cells	Blood Cells	0.65	>=0.20	PROK2 (5.4)	DOCK5 (5.0)	SPI1 (4.3)	ZNF438 (4.1)	PTPRJ (4.0)	SHKBP1 (3.6)	MAP2K4 (3.4)	ZNF350 (3.4)	MLL3 (3.4)	IST1 (3.2)
A02.835.232	Bone and Bones	Musculoskeletal System	Skeleton	0.67	>=0.20	COL24A1 (1.8)	ENSG00000247225 (1.4)	GPX7 (1.4)	RET (1.3)	EIF3M (1.2)	ZFP36L2 (1.2)	ENSG00000224186 (1.2)	WT1-AS (1.1)	C1QTNF4 (1.0)	ENSG00000244535 (1.0)
A11.118.637.555.567.569	T Lymphocytes	Cells	Blood Cells	0.68	>=0.20	ENSG00000245954 (4.0)	CCDC66 (3.1)	FAM159A (2.4)	FNBP4 (2.1)	ENSG00000244535 (2.1)	FAM116A (1.9)	EIF3M (1.9)	RPS27A (1.9)	ARHGEF3 (1.8)	KIAA0947 (1.8)
A15.382.490.315.583	Neutrophils	Hemic and Immune Systems	Immune System	0.69	>=0.20	PROK2 (5.6)	DOCK5 (5.4)	SPI1 (4.6)	ZNF438 (4.4)	PTPRJ (4.3)	SHKBP1 (3.9)	MAP2K4 (3.9)	MLL3 (3.8)	IST1 (3.6)	ZNF350 (3.6)
A15.145	Blood	Hemic and Immune Systems	Blood	0.69	>=0.20	ENSG00000245954 (2.2)	SPI1 (2.1)	PROK2 (2.0)	FAM159A (1.9)	SHKBP1 (1.8)	ZFP36L2 (1.4)	CSGALNACT2 (1.3)	CELF1 (1.2)	ENSG00000226491 (1.2)	ENSG00000244535 (1.1)
A15.382.216	Bone Marrow	Hemic and Immune Systems	Immune System	0.70	>=0.20	COL24A1 (2.0)	ENSG00000247225 (1.6)	RET (1.5)	GPX7 (1.4)	ENSG00000224186 (1.4)	WT1-AS (1.3)	ZFP36L2 (1.3)	EIF3M (1.3)	FAM159A (1.2)	C1QTNF4 (1.1)
A11.436	Epithelial Cells	Cells	Epithelial Cells	0.72	>=0.20	DNAH12 (1.7)	ANKFN1 (1.7)	WBSCR28 (1.6)	AGBL2 (1.3)	PTPMT1 (1.3)	IFT140 (1.2)	PNPT1 (1.2)	ZNF19 (1.1)	HYDIN (1.1)	C2orf63 (1.1)
A03.556.500.760.464	Parotid Gland	Digestive System	Gastrointestinal Tract	0.72	>=0.20	ENSG00000249082 (3.0)	ENSG00000256746 (2.6)	TELO2 (2.5)	GPR45 (2.3)	TSSK1B (2.2)	PTPMT1 (1.9)	ADCY3 (1.8)	ACP2 (1.7)	HMCN2 (1.6)	MARVELD3 (1.6)
A11.118.637.555.567.562	B Lymphocytes	Cells	Blood Cells	0.73	>=0.20	FAM159A (2.8)	ENSG00000250748 (2.4)	DMRT2 (2.0)	GPR45 (2.0)	TSSK1B (2.0)	ENSG00000256746 (2.0)	GPX7 (1.9)	PTPMT1 (1.8)	ENSG00000223842 (1.8)	PDE12 (1.7)
A11.063	Antibody Producing Cells	Cells	Antibody-Producing Cells	0.73	>=0.20	FAM159A (2.8)	ENSG00000250748 (2.4)	DMRT2 (2.0)	GPR45 (2.0)	TSSK1B (2.0)	ENSG00000256746 (2.0)	GPX7 (1.9)	PTPMT1 (1.8)	ENSG00000223842 (1.8)	PDE12 (1.7)
A09.531	Nose	Sense Organs	Nose	0.74	>=0.20	DNAH12 (6.5)	AGBL2 (6.4)	HYDIN (4.7)	CHST4 (4.2)	DMRT2 (3.1)	ANKFN1 (2.6)	SMAD3 (2.6)	IFT140 (2.5)	ENSG00000254560 (2.3)	KBTBD4 (2.1)
A04.531.520	Nasal Mucosa	Respiratory System	Nose	0.74	>=0.20	DNAH12 (6.5)	AGBL2 (6.4)	HYDIN (4.7)	CHST4 (4.2)	DMRT2 (3.1)	ANKFN1 (2.6)	SMAD3 (2.6)	IFT140 (2.5)	ENSG00000254560 (2.3)	KBTBD4 (2.1)
A10.615.550.760	Respiratory Mucosa	Tissues	Membranes	0.74	>=0.20	DNAH12 (6.5)	AGBL2 (6.4)	HYDIN (4.7)	CHST4 (4.2)	DMRT2 (3.1)	ANKFN1 (2.6)	SMAD3 (2.6)	IFT140 (2.5)	ENSG00000254560 (2.3)	KBTBD4 (2.1)
A03.556.500.760	Salivary Glands	Digestive System	Gastrointestinal Tract	0.76	>=0.20	ENSG00000249082 (2.9)	ENSG00000256746 (2.5)	TELO2 (2.2)	GPR45 (2.1)	HMCN2 (1.9)	TSSK1B (1.9)	ACP2 (1.9)	PTPMT1 (1.7)	PITX1 (1.7)	MARVELD3 (1.7)
A15.145.229.637.555.567.562.725	Plasma Cells	Hemic and Immune Systems	Blood	0.77	>=0.20	ENSG00000250748 (3.4)	DMRT2 (2.9)	FAM159A (2.6)	TSSK1B (2.6)	GPR45 (2.5)	PTPMT1 (2.4)	CCDC85A (2.3)	ENSG00000223842 (2.3)	GPX7 (2.3)	PDE12 (2.1)
A15.145.693	Plasma	Hemic and Immune Systems	Blood	0.77	>=0.20	ENSG00000250748 (3.4)	DMRT2 (2.9)	FAM159A (2.6)	TSSK1B (2.5)	GPR45 (2.4)	PTPMT1 (2.4)	CCDC85A (2.3)	GPX7 (2.3)	ENSG00000223842 (2.3)	ENSG00000256746 (2.1)
A11.436.348	Hepatocytes	Cells	Epithelial Cells	0.78	>=0.20	AGXT (5.8)	HP (5.4)	TAT (4.1)	GATA4 (3.2)	ENSG00000226491 (2.7)	PNPT1 (2.2)	MTCH2 (2.1)	SPTBN1 (2.1)	AP1G1 (2.0)	DHODH (1.8)
A15.382.490.555.567	Lymphocytes	Hemic and Immune Systems	Immune System	0.78	>=0.20	FAM159A (2.5)	ENSG00000245954 (1.8)	RPS27A (1.4)	KBTBD4 (1.4)	THADA (1.4)	EIF3M (1.4)	ENSG00000250748 (1.4)	PDE12 (1.3)	TSSK1B (1.2)	ENSG00000244535 (1.2)
A05.360.490.690	Ovum	Urogenital System	Genitalia	0.80	>=0.20	CRISPLD2 (2.2)	CALB2 (2.2)	WT1 (2.1)	ATXN1L (2.1)	ZNF19 (1.9)	FAM208A (1.7)	ANKFN1 (1.7)	SEMA3A (1.6)	PTPMT1 (1.5)	HAND2 (1.5)
A11.497.497.600	Oocytes	Cells	Germ Cells	0.80	>=0.20	CRISPLD2 (2.2)	CALB2 (2.2)	WT1 (2.1)	ATXN1L (2.1)	ZNF19 (1.9)	FAM208A (1.7)	ANKFN1 (1.7)	SEMA3A (1.6)	PTPMT1 (1.5)	HAND2 (1.5)
A02.835.583.443.800.800	Synovial Fluid	Musculoskeletal System	Skeleton	0.81	>=0.20	ENSG00000245954 (3.0)	SMAD7 (2.3)	RNU6-64 (2.3)	SPI1 (2.2)	CCDC66 (2.1)	KBTBD4 (2.0)	PTPRJ (1.9)	NUP160 (1.8)	TELO2 (1.8)	PTRHD1 (1.8)
A15.382.490.555.567.537	Killer Cells  Natural	Hemic and Immune Systems	Immune System	0.82	>=0.20	GNRH1 (2.9)	ENSG00000162997 (2.2)	ARHGEF3 (2.2)	FNBP4 (2.0)	SMAD7 (1.9)	FAM159A (1.8)	CCDC66 (1.7)	KIAA0947 (1.7)	YTHDC2 (1.7)	ENSG00000244535 (1.6)
A15.145.229	Blood Cells	Hemic and Immune Systems	Blood	0.83	>=0.20	FAM159A (1.9)	SPI1 (1.8)	SHKBP1 (1.6)	ENSG00000245954 (1.6)	PROK2 (1.4)	CSGALNACT2 (1.3)	PTPRJ (1.2)	ENSG00000244535 (1.2)	ZFP36L2 (1.2)	ENSG00000250748 (1.1)
A05.360.490	Germ Cells	Urogenital System	Genitalia	0.84	>=0.20	CALB2 (2.1)	WT1 (2.0)	CRISPLD2 (2.0)	ATXN1L (1.9)	ZNF19 (1.7)	HAND2 (1.6)	ANKFN1 (1.5)	PTPMT1 (1.4)	SEMA3A (1.4)	FAM208A (1.4)
A15.382	Immune System	Hemic and Immune Systems	Immune System	0.86	>=0.20	FAM159A (1.4)	SHKBP1 (1.3)	SPI1 (1.2)	CSGALNACT2 (1.1)	PMFBP1 (1.1)	ENSG00000244535 (1.1)	ENSG00000245954 (1.1)	ENSG00000250748 (1.1)	TSSK1B (1.1)	SLC22A18AS (1.0)
A15.378.316	Bone Marrow Cells	Hemic and Immune Systems	Hematopoietic System	0.87	>=0.20	SPI1 (3.3)	PTPRJ (2.8)	SHKBP1 (2.4)	ZNF438 (2.4)	CSGALNACT2 (2.3)	DOCK5 (2.2)	PROK2 (2.2)	PMFBP1 (2.0)	DNAJC27-AS1 (1.7)	MLL3 (1.6)
A15.378	Hematopoietic System	Hemic and Immune Systems	Hematopoietic System	0.87	>=0.20	SPI1 (3.3)	PTPRJ (2.8)	SHKBP1 (2.4)	ZNF438 (2.4)	CSGALNACT2 (2.3)	DOCK5 (2.2)	PROK2 (2.2)	PMFBP1 (2.0)	DNAJC27-AS1 (1.7)	MLL3 (1.6)
A11.118.637	Leukocytes	Cells	Blood Cells	0.88	>=0.20	FAM159A (1.8)	SHKBP1 (1.7)	SPI1 (1.6)	ENSG00000250748 (1.4)	ENSG00000245954 (1.3)	CSGALNACT2 (1.3)	TSSK1B (1.3)	PROK2 (1.2)	PTPRJ (1.2)	ENSG00000244535 (1.1)
A15.145.229.637.555	Leukocytes  Mononuclear	Hemic and Immune Systems	Blood	0.90	>=0.20	FAM159A (1.9)	TSSK1B (1.3)	ENSG00000245954 (1.3)	SHKBP1 (1.2)	ENSG00000250748 (1.2)	PDE12 (1.2)	ENSG00000244535 (1.1)	GPR45 (1.1)	ENSG00000256746 (1.1)	WBSCR28 (1.0)
A09.371.060	Anterior Eye Segment	Sense Organs	Eye	0.90	>=0.20	PROK2 (2.8)	ZNF613 (2.3)	MARVELD3 (2.2)	IST1 (2.2)	PRRG4 (2.1)	FAM116A (1.9)	FTSJD1 (1.5)	FBLN2 (1.5)	ZNF717 (1.5)	WNT5A (1.4)
A09.371.337.168	Conjunctiva	Sense Organs	Eye	0.90	>=0.20	PROK2 (2.9)	ZNF613 (2.3)	IST1 (2.2)	MARVELD3 (2.2)	PRRG4 (2.2)	FAM116A (2.0)	FTSJD1 (1.6)	FBLN2 (1.5)	ZNF717 (1.5)	WNT5A (1.5)
A09.371.337	Eyelids	Sense Organs	Eye	0.90	>=0.20	PROK2 (2.9)	ZNF613 (2.3)	IST1 (2.2)	MARVELD3 (2.2)	PRRG4 (2.2)	FAM116A (2.0)	FTSJD1 (1.6)	FBLN2 (1.5)	ZNF717 (1.5)	WNT5A (1.5)
A10.549	Lymphoid Tissue	Tissues	Lymphoid Tissue	0.92	>=0.20	FAM159A (1.8)	NR1H3 (1.7)	FAM208A (1.7)	FNBP4 (1.4)	KDM4C (1.3)	RXFP2 (1.3)	THADA (1.3)	ENSG00000245954 (1.2)	ENSG00000244535 (1.2)	YTHDC2 (1.2)
A15.382.520	Lymphatic System	Hemic and Immune Systems	Immune System	0.92	>=0.20	FAM159A (1.8)	NR1H3 (1.7)	FAM208A (1.7)	FNBP4 (1.4)	KDM4C (1.3)	RXFP2 (1.3)	THADA (1.3)	ENSG00000245954 (1.2)	ENSG00000244535 (1.2)	YTHDC2 (1.2)
A11.627	Myeloid Cells	Cells	Myeloid Cells	0.92	>=0.20	SPI1 (3.1)	PTPRJ (3.0)	ZNF438 (2.6)	PMFBP1 (2.3)	CSGALNACT2 (2.2)	SHKBP1 (2.2)	DOCK5 (1.9)	LIMK1 (1.9)	SPATA12 (1.8)	DNAJC27-AS1 (1.5)
A02.835.232.043	Bones of Lower Extremity	Musculoskeletal System	Skeleton	0.93	>=0.20	PROK2 (2.6)	IST1 (2.0)	ZNF613 (2.0)	MARVELD3 (1.9)	PRRG4 (1.9)	FAM116A (1.8)	FTSJD1 (1.5)	WNT5A (1.4)	FBLN2 (1.3)	ZNF717 (1.3)
A15.382.680	Phagocytes	Hemic and Immune Systems	Immune System	0.93	>=0.20	SPI1 (3.3)	PTPRJ (3.2)	ZNF438 (2.8)	PMFBP1 (2.5)	CSGALNACT2 (2.4)	SHKBP1 (2.3)	DOCK5 (2.1)	LIMK1 (2.0)	SPATA12 (1.9)	SLC22A18AS (1.6)
A02.835.232.043.300	Foot Bones	Musculoskeletal System	Skeleton	0.93	>=0.20	PROK2 (2.7)	IST1 (2.1)	ZNF613 (2.1)	MARVELD3 (2.0)	PRRG4 (2.0)	FAM116A (1.9)	FTSJD1 (1.5)	WNT5A (1.4)	FBLN2 (1.4)	ZNF717 (1.3)
